Ca,Tr,Ca0,Q
1.909256508,393.5902312,4.356637534,68.14845848
2.086767587,404.9612267,5.184630254,-65.3001281
2.170740856,392.8437017,0.964343841,-36.08772569
2.002545099,386.6348882,4.908022549,-80.50722591
2.172691257,372.6409197,5.769288876,-120.4065426
2.172718771,351.2111628,2.32220569,84.65405226
2.172912866,362.9786628,1.854039978,38.73913668
2.228926789,366.3591665,4.172692164,118.0022234
2.299099986,384.0440325,2.343077393,-120.5663733
2.303518978,361.7321408,5.645461743,75.60501425
2.44243933,372.8263531,6.854710968,119.992251
2.507869763,391.0445499,0.597661011,-73.78831531
2.352287224,377.9841463,4.817448499,124.7267657
2.477974332,398.2578833,7.151232835,15.73699798
1,325,3.551964315,-131.6871684
1.226790636,305.6313668,4.347637345,-17.96600349
1.287938637,301.8954162,3.442574615,-47.12922016
1.399227178,294.898505,1.932540438,33.13082664
1.430729621,299.0475084,2.597582716,-64.77020654
1.59645352,289.6894617,4.847936829,8.095026836
1.675451853,291.3488924,1.442059617,3.771700653
1.824472113,293.9095642,1.79107906,79.25976962
1.78058031,305.8450067,6.477827048,-1.600878633
2.035160744,305.0989031,6.425930398,-116.7651546
2.213623936,286.7181379,4.036722631,-120.7537584
2.230290398,268.8829804,3.496856293,-112.0747546
2.321192012,254.9141834,1.390119802,26.87369909
2.208792778,260.5869826,2.082084004,-109.1817631
2.388356462,245.2278525,2.042143449,-41.71492417
2.300642813,242.5834808,3.774512392,-82.84911044
2.342661873,232.7426454,4.982847077,-4.702823834
2.485114213,235.8721947,4.03665704,-31.41871054
2.592076574,233.5748365,6.055462181,22.2233848
2.740943073,239.9762802,1.63609019,55.76454519
2.768908019,251.0163819,7.251857561,0.002322547
2.838668761,254.1335229,6.726640448,-43.99621111
3.06845333,248.9184292,4.470008893,-20.12612292
3.132402882,249.0885476,3.557230841,76.82200198
3.283281594,262.4824746,4.249229214,126.0395176
3.286652651,284.0437835,4.309457121,-116.0847531
3.361119258,266.8985116,3.064396812,97.45848113
3.292238166,283.7598964,3.343925301,-131.3326866
3.413157572,265.7951111,2.230240673,-120.2376844
3.266857461,249.1333981,7.45696408,130.7167642
3.509137778,269.923827,6.101808458,28.28253599
3.70287607,276.6128074,5.854719023,-91.88182774
3.643472855,263.3160547,2.551162623,6.685243674
3.62371667,267.1440646,2.996369968,-126.2002975
3.559892521,248.8710051,7.382074118,-16.29030148
3.878507756,249.1666066,4.028003076,-49.01630461
3.798924963,244.0491915,2.318213269,-31.41947881
3.729519249,241.4491697,6.324118297,65.76307645
3.861738313,255.6047149,3.154473969,-135.2729729
3.932609897,236.7882533,6.081834573,-64.05867246
3.97917318,230.9126289,4.57879422,-131.7914156
3.987914345,213.1094523,5.135414135,-31.24349531
4.157470393,212.9604978,3.979516591,-23.63726929
4.147524299,213.1842564,2.956103309,14.16053039
4.073101931,220.9873211,7.310374829,-107.562171
4.174764714,207.9349913,2.692809699,-127.2784241
4.12482235,193.2857274,5.66879831,43.75344452
4.236044338,204.3166103,2.002450225,-23.12404624
4.094594065,205.1013303,5.006893539,44.85592768
4.241656903,216.6271039,1.693339934,106.0145184
4.007412845,236.910284,5.946057119,-101.6793948
4.054312379,225.9222061,6.582416385,69.10497172
